INFO 2024-08-10 14:43:34,607 autoreload Watching for file changes with StatReloader
DEBUG 2024-08-10 14:43:34,946 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\email\feedparser.py first seen with mtime 1722341993.289236
DEBUG 2024-08-10 14:43:34,946 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\http\__init__.py first seen with mtime 1722342017.6173687
DEBUG 2024-08-10 14:43:34,946 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\forms\renderers.py first seen with mtime 1722342986.6918938
DEBUG 2024-08-10 14:43:34,946 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\urls\utils.py first seen with mtime 1722342987.5312784
DEBUG 2024-08-10 14:43:34,946 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\multiprocessing\process.py first seen with mtime 1722342057.0727897
DEBUG 2024-08-10 14:43:34,946 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\DLLs\_zoneinfo.pyd first seen with mtime 1723024858.482767
DEBUG 2024-08-10 14:43:34,946 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\_compression.py first seen with mtime 1722342095.9646716
DEBUG 2024-08-10 14:43:34,946 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\DLLs\_uuid.pyd first seen with mtime 1723024858.4696727
DEBUG 2024-08-10 14:43:34,946 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\contrib\auth\admin.py first seen with mtime 1722342972.1600091
DEBUG 2024-08-10 14:43:34,946 autoreload File C:\Program Files\WindowsApps\PythonSoftwareFoundation.Python.3.12_3.12.1520.0_x64__qbz5n2kfra8p0\Lib\asyncio\__init__.py first seen with mtime 1722341993.133065
DEBUG 2024-08-10 14:43:34,946 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\utils\http.py first seen with mtime 1722342987.6352372
DEBUG 2024-08-10 14:43:34,946 autoreload File C:\Users\theop\project_mediatheque\Lib\site-packages\django\contrib\contenttypes\fields.py first seen with mtime 1722342973.9225948
